Algorithm name,# Iterations,Horizon,Instance,Accumulated reward ,# rollouts,Planning runtime,total runtime,# Sensors,# Robots,p ,B (Max New Faults)
uct,1500,2,1,-19.500000000000004,50,7,247,2,1,0.3,1
uct,1500,2,2,-19.500000000000004,50,8,242,2,1,0.3,1
uct,1500,2,3,-19.500000000000004,50,7,251,2,1,0.3,1
uct,1500,2,4,-19.500000000000004,50,6,245,2,1,0.3,1
uct,1500,2,5,-19.500000000000004,50,7,248,2,1,0.3,1
uct,1500,2,6,-18.400000000000002,50,7,242,2,1,0.3,1
uct,1500,2,7,-18.400000000000002,50,7,244,2,1,0.3,1
uct,1500,2,8,-19.500000000000004,50,7,244,2,1,0.3,1
uct,1500,2,9,-19.500000000000004,50,8,247,2,1,0.3,1
uct,1500,2,10,-19.500000000000004,50,7,244,2,1,0.3,1
uct,1500,2,1,-15.2,50,8,302,2,2,0.3,1
uct,1500,2,2,-15.0,50,8,300,2,2,0.3,1
uct,1500,2,3,-15.0,50,8,306,2,2,0.3,1
uct,1500,2,4,-15.0,50,9,315,2,2,0.3,1
uct,1500,2,5,-15.0,50,8,299,2,2,0.3,1
uct,1500,2,6,-15.0,50,8,298,2,2,0.3,1
uct,1500,2,7,-15.0,50,9,316,2,2,0.3,1
uct,1500,2,8,-15.2,50,9,333,2,2,0.3,1
uct,1500,2,9,-15.0,50,9,303,2,2,0.3,1
uct,1500,2,10,-15.2,50,9,296,2,2,0.3,1
uct,1500,2,1,-34.30000000000001,50,7,345,3,1,0.3,1
uct,1500,2,2,-36.100000000000016,50,7,330,3,1,0.3,1
uct,1500,2,3,-37.100000000000016,50,8,321,3,1,0.3,1
uct,1500,2,4,-34.100000000000016,50,7,311,3,1,0.3,1
uct,1500,2,5,-46.30000000000001,50,7,297,3,1,0.3,1
uct,1500,2,6,-33.10000000000001,50,7,336,3,1,0.3,1
uct,1500,2,7,-36.100000000000016,50,6,333,3,1,0.3,1
uct,1500,2,8,-38.30000000000002,50,9,301,3,1,0.3,1
uct,1500,2,9,-36.100000000000016,50,6,310,3,1,0.3,1
uct,1500,2,10,-36.100000000000016,50,7,314,3,1,0.3,1
uct,1500,2,1,-12.599999999999996,50,9,306,3,2,0.3,1
uct,1500,2,2,-20.700000000000006,50,11,411,3,2,0.3,1
uct,1500,2,3,-21.000000000000004,50,10,425,3,2,0.3,1
uct,1500,2,4,-24.300000000000004,50,14,490,3,2,0.3,1
uct,1500,2,5,-19.800000000000004,50,9,402,3,2,0.3,1
uct,1500,2,6,-18.7,50,10,409,3,2,0.3,1
uct,1500,2,7,-26.00000000000001,50,10,402,3,2,0.3,1
uct,1500,2,8,-21.900000000000006,50,10,447,3,2,0.3,1
uct,1500,2,9,-25.200000000000006,50,11,392,3,2,0.3,1
uct,1500,2,10,-24.20000000000001,50,9,443,3,2,0.3,1
uct,1500,2,1,-23.400000000000002,50,18,821,3,3,0.3,1
uct,1500,2,2,-29.20000000000001,50,18,854,3,3,0.3,1
uct,1500,2,3,-27.400000000000002,50,19,749,3,3,0.3,1
uct,1500,2,4,-26.000000000000004,50,22,835,3,3,0.3,1
