Algorithm name,# Iterations,Horizon,Instance,Accumulated reward ,# rollouts,Planning runtime,total runtime,# Sensors,# Robots,p ,B (Max New Faults)
uct,450,2,4,-8.0,50,2,76,1,1,0.3,1
uct,450,2,5,-8.0,50,2,77,1,1,0.3,1
uct,450,2,6,-8.0,50,3,80,1,1,0.3,1
uct,450,2,7,-8.0,50,2,87,1,1,0.3,1
uct,450,2,8,-8.0,50,3,67,1,1,0.3,1
uct,450,2,9,-8.0,50,3,65,1,1,0.3,1
uct,450,2,10,-8.0,50,2,64,1,1,0.3,1
uct,450,2,1,-22.900000000000006,50,3,103,2,1,0.3,1
uct,450,2,2,-25.800000000000008,50,3,92,2,1,0.3,1
uct,450,2,3,-25.800000000000008,50,3,103,2,1,0.3,1
uct,450,2,4,-19.900000000000002,50,3,198,2,1,0.3,1
uct,450,2,5,-16.5,50,5,145,2,1,0.3,1
uct,450,2,6,-25.800000000000008,50,3,112,2,1,0.3,1
uct,450,2,7,-25.800000000000008,50,3,103,2,1,0.3,1
uct,450,2,8,-26.90000000000001,50,2,106,2,1,0.3,1
uct,450,2,9,-25.800000000000008,50,3,104,2,1,0.3,1
uct,450,2,10,-26.90000000000001,50,2,97,2,1,0.3,1
uct,450,2,1,-16.599999999999998,50,2,128,2,2,0.3,1
uct,450,2,2,-16.2,50,4,116,2,2,0.3,1
uct,450,2,3,-15.799999999999997,50,2,105,2,2,0.3,1
uct,450,2,4,-14.4,50,3,94,2,2,0.3,1
uct,450,2,5,-16.799999999999997,50,4,129,2,2,0.3,1
uct,450,2,6,-16.2,50,3,130,2,2,0.3,1
uct,450,2,7,-12.599999999999998,50,4,104,2,2,0.3,1
uct,450,2,8,-12.8,50,3,105,2,2,0.3,1
uct,450,2,9,-16.7,50,4,117,2,2,0.3,1
uct,450,2,10,-17.799999999999997,50,4,131,2,2,0.3,1
uct,450,2,1,-50.40000000000002,50,3,121,3,1,0.3,1
uct,450,2,2,-47.40000000000002,50,3,131,3,1,0.3,1
uct,450,2,3,-46.40000000000002,50,3,117,3,1,0.3,1
uct,450,2,4,-47.200000000000024,50,3,118,3,1,0.3,1
uct,450,2,5,-43.300000000000026,50,3,116,3,1,0.3,1
uct,450,2,6,-46.40000000000002,50,3,116,3,1,0.3,1
uct,450,2,7,-47.20000000000002,50,4,123,3,1,0.3,1
uct,450,2,8,-46.40000000000003,50,3,119,3,1,0.3,1
uct,450,2,9,-49.30000000000002,50,2,147,3,1,0.3,1
uct,450,2,10,-39.20000000000002,50,3,116,3,1,0.3,1
uct,450,2,1,-34.90000000000001,50,4,172,3,2,0.3,1
uct,450,2,2,-26.200000000000006,50,4,178,3,2,0.3,1
uct,450,2,3,-27.90000000000001,50,5,168,3,2,0.3,1
uct,450,2,4,-29.800000000000008,50,3,181,3,2,0.3,1
uct,450,2,5,-34.00000000000001,50,4,174,3,2,0.3,1
uct,450,2,6,-30.300000000000022,50,4,187,3,2,0.3,1
uct,450,2,7,-36.20000000000002,50,3,185,3,2,0.3,1
uct,450,2,8,-32.90000000000001,50,5,210,3,2,0.3,1
uct,450,2,9,-32.300000000000004,50,5,203,3,2,0.3,1
